IP地址,端口,TLS,数据中心,国家,地区,城市,ASN,ORG,延迟(ms),速度(MB/s)
120.232.198.141,25146,TRUE,HKG,HK,Asia Pacific,Hong Kong,56040,China Mobile communications corporation,274,0.9
47.243.203.119,2087,TRUE,HKG,HK,Asia Pacific,Hong Kong,45102,"Alibaba US Technology Co., Ltd.",199,0.64
58.242.129.73,25272,TRUE,HKG,HK,Asia Pacific,Hong Kong,4837,CHINA UNICOM China169 Backbone,233,0.62
118.220.237.188,35432,TRUE,HKG,HK,Asia Pacific,Hong Kong,9318,SK Broadband Co Ltd,379,0.62
58.242.129.73,25359,TRUE,HKG,HK,Asia Pacific,Hong Kong,4837,CHINA UNICOM China169 Backbone,338,0.61
114.201.222.64,15193,TRUE,HKG,HK,Asia Pacific,Hong Kong,9318,SK Broadband Co Ltd,406,0.52
119.28.58.214,10007,TRUE,HKG,HK,Asia Pacific,Hong Kong,132203,"Tencent Building, Kejizhongyi Avenue",311,0.49
18.162.177.90,8443,TRUE,HKG,HK,Asia Pacific,Hong Kong,16509,AMAZON-02,401,0.41
120.232.198.141,25543,TRUE,HKG,HK,Asia Pacific,Hong Kong,56040,China Mobile communications corporation,383,0.31
154.204.44.195,8080,TRUE,HKG,HK,Asia Pacific,Hong Kong,133199,SonderCloud Limited,216,0.23
154.88.31.91,30000,TRUE,HKG,HK,Asia Pacific,Hong Kong,40065,CNSERVERS,306,0.22
221.124.49.233,10003,TRUE,HKG,HK,Asia Pacific,Hong Kong,9304,HGC Global Communications Limited,730,0.16
111.20.226.42,12311,TRUE,SJC,US,North America,San Jose,9808,"China Mobile Communications Group Co., Ltd.",807,0.15
43.154.196.20,65432,TRUE,HKG,HK,Asia Pacific,Hong Kong,132203,"Tencent Building, Kejizhongyi Avenue",261,0.1
